long clean title,short clean title
salted Butter,salted Butter
whipped Butter,whipped Butter
anhydrous Butter oil,anhydrous Butter oil
blue Cheese,blue Cheese
brick Cheese,brick Cheese
brie Cheese,brie Cheese
camembert Cheese,camembert Cheese
Cheese,Cheese
cheddar (Includes foods for USDA's Food Distribution Program) Cheese,cheddar (Includes foods for USDA's Food Distribution Program) Cheese
cheshire Cheese,cheshire Cheese
colby Cheese,colby Cheese
creamed cottage Cheese,cottage Cheese
creamed cottage Cheese,cottage Cheese
nonfat cottage Cheese,cottage Cheese
lowfat cottage Cheese,cottage Cheese
lowfat cottage Cheese,cottage Cheese
cream Cheese,cream Cheese
edam Cheese,edam Cheese
feta Cheese,feta Cheese
fontina Cheese,fontina Cheese
gjetost Cheese,gjetost Cheese
gouda Cheese,gouda Cheese
gruyere Cheese,gruyere Cheese
limburger Cheese,limburger Cheese
monterey Cheese,monterey Cheese
mozzarella Cheese,mozzarella Cheese
whole milk mozzarella Cheese,mozzarella Cheese
mozzarella Cheese,mozzarella Cheese
low moisture mozzarella Cheese,mozzarella Cheese
muenster Cheese,muenster Cheese
neufchatel Cheese,neufchatel Cheese
parmesan Cheese,parmesan Cheese
parmesan Cheese,parmesan Cheese
port de salut Cheese,port de salut Cheese
provolone Cheese,provolone Cheese
ricotta Cheese,ricotta Cheese
ricotta Cheese,ricotta Cheese
romano Cheese,romano Cheese
roquefort Cheese,roquefort Cheese
swiss Cheese,swiss Cheese
tilsit Cheese,tilsit Cheese
American pasteurized process Cheese,pasteurized process Cheese
pasteurized process Cheese,pasteurized process Cheese
pasteurized process Cheese,pasteurized process Cheese
cold pack Cheese food,cold pack Cheese food
American pasteurized process Cheese food,pasteurized process Cheese food
pasteurized process Cheese food,pasteurized process Cheese food
pasteurized process Cheese spread,pasteurized process Cheese spread
fluid Cream,fluid Cream
fluid Cream,fluid Cream
fluid Cream,fluid Cream
fluid Cream,fluid Cream
cream topping whipped Cream,whipped Cream
reduced fat sour Cream,sour Cream
sour Cream,sour Cream
Eggnog,Eggnog
cultured non-butterfat Sour dressing,non-butterfat Sour dressing
fluid filled Milk,filled Milk
fluid filled Milk,filled Milk
American Cheese,American Cheese
2% fat Greek Yogurt,Greek Yogurt
2%fat Greek Yogurt,Greek Yogurt
liquid Cream substitute,liquid Cream substitute
liquid Cream substitute,liquid Cream substitute
powdered Cream substitute,powdered Cream substitute
powdered Dessert topping,powdered Dessert topping
powdered Dessert topping,powdered Dessert topping
pressurized Dessert topping,pressurized Dessert topping
semi solid Dessert topping,semi solid Dessert topping
imitation Sour cream,imitation Sour cream
fluid Milk substitutes,fluid Milk substitutes
3.25% milkfat whole Milk,whole Milk
fluid producer Milk,producer Milk
fluid reduced fat Milk,reduced fat Milk
fluid reduced fat Milk,reduced fat Milk
fluid reduced fat Milk,reduced fat Milk
fluid lowfat Milk,lowfat Milk
fluid lowfat Milk,lowfat Milk
fluid lowfat Milk,lowfat Milk
fluid nonfat Milk,nonfat Milk
fluid nonfat Milk,nonfat Milk
fluid nonfat Milk,nonfat Milk
fluid buttermilk Milk,buttermilk Milk
low sodium Milk,low sodium Milk
whole dry Milk,dry Milk
nonfat dry Milk,dry Milk
nonfat dry Milk,dry Milk
nonfat dry Milk,dry Milk
buttermilk Milk,buttermilk Milk
condensed canned Milk,canned Milk
evaporated canned Milk,canned Milk
evaporated canned Milk,canned Milk
fluid chocolate Milk,chocolate Milk
fluid chocolate Milk,chocolate Milk
lowfat chocolate Milk,chocolate Milk
hot cocoa chocolate beverage Milk,chocolate beverage Milk
fluid goat Milk,goat Milk
mature human Milk,human Milk
indian buffalo Milk,indian buffalo Milk
sheep Milk,sheep Milk
thick chocolate Milk shakes,thick chocolate Milk shakes
thick vanilla Milk shakes,thick vanilla Milk shakes
acid Whey,acid Whey
acid Whey,acid Whey
sweet Whey,sweet Whey
sweet Whey,sweet Whey
plain Yogurt,plain Yogurt
plain Yogurt,plain Yogurt
plain Yogurt,plain Yogurt
vanilla Yogurt,vanilla Yogurt
low fat fruit Yogurt,fruit Yogurt
low fat fruit Yogurt,fruit Yogurt
low fat fruit Yogurt,fruit Yogurt
raw whole Egg,whole Egg
raw white Egg,white Egg
raw yolk Egg,yolk Egg
raw yolk Egg,yolk Egg
raw yolk Egg,yolk Egg
cooked whole Egg,whole Egg
cooked whole Egg,whole Egg
cooked whole Egg,whole Egg
cooked whole Egg,whole Egg
cooked whole Egg,whole Egg
whole Egg,whole Egg
dried whole Egg,whole Egg
dried white Egg,white Egg
dried white Egg,white Egg
yolk Egg,yolk Egg
whole duck Egg,duck Egg
whole goose Egg,goose Egg
whole quail Egg,quail Egg
whole turkey Egg,turkey Egg
powder Egg substitute,powder Egg substitute
without salt Butter,without salt Butter
parmesan Cheese,parmesan Cheese
fluid nonfat Milk,nonfat Milk
fluid reduced fat Milk,reduced fat Milk
evaporated canned Milk,canned Milk
nonfat dry Milk,dry Milk
nonfat dry Milk,dry Milk
goat Cheese,goat Cheese
goat Cheese,goat Cheese
2% fat Greek Yogurt,Greek Yogurt
goat Cheese,goat Cheese
raw yolk Egg,yolk Egg
mozzarella Cheese substitute,mozzarella Cheese substitute
2% fat Greek Yogurt,Greek Yogurt
prepared from recipe Cheese sauce,prepared from recipe Cheese sauce
mexican Cheese,mexican Cheese
mexican Cheese,mexican Cheese
mexican Cheese,mexican Cheese
low fat Cheese,low fat Cheese
low-sodium Cheese,low-sodium Cheese
raw whole Egg,whole Egg
raw white Egg,white Egg
white Egg,white Egg
fluid reduced fat Milk,reduced fat Milk
1% fat fluid Milk,fluid Milk
reduced fat Sour cream,reduced fat Sour cream
light Sour cream,light Sour cream
fat free Sour cream,fat free Sour cream
nonfat milk vanilla or lemon flavor Yogurt,vanilla or lemon flavor Yogurt
fat free Parmesan cheese topping,fat free Parmesan cheese topping
cream Cheese,cream Cheese
chocolate Yogurt,chocolate Yogurt
KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce,KRAFT CHEEZ WHIZ Pasteurized Process Cheese Sauce
KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product,KRAFT CHEEZ WHIZ LIGHT Pasteurized Process Cheese Product
KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product,KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product
KRAFT VELVEETA Pasteurized Process Cheese Spread,KRAFT VELVEETA Pasteurized Process Cheese Spread
KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product,KRAFT VELVEETA LIGHT Reduced Fat Pasteurized Process Cheese Product
KRAFT BREAKSTONE'S Reduced Fat Sour Cream,KRAFT BREAKSTONE'S Reduced Fat Sour Cream
KRAFT BREAKSTONE'S FREE Fat Free Sour Cream,KRAFT BREAKSTONE'S FREE Fat Free Sour Cream
half and half Cream,half and half Cream
Reddi Wip Fat Free Whipped Topping,Reddi Wip Fat Free Whipped Topping
fluid chocolate Milk,chocolate Milk
lowfat fruit Yogurt,fruit Yogurt
dry grated parmesan Cheese,parmesan Cheese
flavored Cream substitute,flavored Cream substitute
flavored Cream substitute,flavored Cream substitute
provolone Cheese,provolone Cheese
blend Mexican Cheese,Mexican Cheese
3.25% milkfat whole Milk,whole Milk
