PF XTRA CHEDDAR GF,pepperidge farms xtra cheddar goldfish,goldfish,publix
PF CHEESE GOLDFISH,pepperidge farms cheese goldfish,goldfish,publix
REESES PEAN,reeses peanut butter cups,peanut butter cups,walmart
ATHENOS TR/CR FETA,athenos traditional crumbled feta,publix,feta crumbled
L/L DBL CHOC CHIP,lenny & larrys double chocolate chip,double chocolate chip,publix
AIDL SAUSAGE,aidell sausage,sausage,kroger
PLANTAINS,plantains,plantains,kroger
PFRM GOLDFISH,pepperidge farm goldfish,goldfish,kroger
PEPPERS BELL RED,red bell peppers,red bell peppers,kroger
PEACHES WHITE,white peaches,white peaches,kroger
BLUEBERRIES,blueberries,blueberries,kroger
LEMONS,lemons,lemons,kroger
QUAKER OATMEAL,quaker oatmeal,oatmeal,kroger
MANDARINS BAG,mandarins bag,mandarins,kroger
BKCN COOKIES,,,
PRSL COOKIE,private selection cookie,cookie,kroger
PRSL 12 GRAIN BRD,,,
QUAKER OATMEAL,quaker oatmeal,oatmeal,kroger
KRO BUFFALO,kroger buffalo,buffalo,kroger
KRO TUNA PCH,kroger tuna,tuna,kroger
KRO LMN PEPPR,kroger lemon pepper,lemon pepper,kroger
KRO TUNA,kroger tuna,tuna,kroger
KRO POTATO,kroger potato,potato,kroger
ONIONS SWT YELLOW,onions sweet yellow,onions,kroger
CABBAGE,cabbage,cabbage,kroger
KRO CAULIFLOWER FLPC,kroger cauliflower,cauliflower,kroger
KRO MUSHROOMS,kroger mushrooms,mushrooms,kroger
KRO HONEY BEAR,kroger honey bear,honey,kroger
KRO TOMATOES,kroger tomatoes,tomatoes,kroger
KRO SALSA,kroger salsa,salsa,kroger
PRINGLES,pringles,chips,target
CAMPBELLS CH,campbells cream of chicken,soup,target
CAMPBELLS,campbells,soup,target
MARUCHN SOUP,maruchan soup,ramen,target
MP 2 PC MILK,market pantry 2 percent milk,milk,target
CAPRI SUN,capri sun,juice,target
DEVOUR,devour,devour,target
NEWYOR BREAD,newyork bread,garlic bread,target
FAIRLIFE,fairlife,ice cream,target
OS CRAN POM,ocean spray cranberry pomegranate juice,juice,walmart
CAMPARI TOM,campari tomatoes,tomatoes,walmart
KFT SINGLES,kraft singles,cheese,walmart
HARD SALAMI,hard salami,salami,walmart
ORGANIC SUGAR,organic sugar,sugar,trader joes
CHOC CHUNKS SEMI SWEET 10 OZ,semi sweet chocolate chunks,chocolate,trader joes
SPAGHETTI TOMATO SAUCE ORGANIC,organic spaghetti tomato sauce,tomato sauce,trader joes
A-POTATO EACH RUSSET,russet potato,potato,trader joes
R-CARROTS WHOLE ORG,organic carrots,carrot,trader joes
A-AVOCADOS EACH HASS 40 CT,hass avocados,avocados,trader joes
A-CUCUMBERS PERSIAN 14 OZ,persian cucumbers,cucumbers,trader joes
TRADITIONAL REFRIED BEANS,refried beans,beans,trader joes
GV 5LB BRST,great value chicken breast,chicken breast,walmart
GV 2 RF MLK,great value 2% reduced fat milk,milk,walmart
HNY MPL BCN,honey maple bacon,bacon,walmart
JALAPENO,jalapeno,jalapeno,walmart
GV CHED SHED,great value shredded cheddar,cheese,walmart
GV BRWN RICE,great value brown rice,brown rice,walmart
BELL PEPPER,bell pepper,bell pepper,walmart
RED PEPPER,red pepper,red pepper,walmart
ORANGE PEPPER,orange pepper,orange pepper,walmart
EGGS,eggs,eggs,walmart
CILANTRO,cilantro,ciltrano,walmart
1PCT MILK,1% milk,milk,kroger
KROGER JUICE,kroger juice,orange juice,kroger
KRO JAM,kroger jam,jam,kroger
BANANAS,bananas,bananas,kroger
STO RED DEL POUCH,simple truth organic red delicious apples,apples,kroger
PORT WINE,port wine,wine,walmart
GREEN ONION,green onion,green onion,walmart
TOTINOS PIZZA,totinos pizza rolls,pizza rolls,publix
APPLES MCINTOSH LG,large mcintosh apples,apples,publix
PEARS BARTLETT,bartlett pears,pears,publix
CHWY PPRMNT MENTOS,chewy peppermint mentos,mints,publix
