receipt_name,full_product_title,general_product_title,store,product_database
ORGANIC GALA APPLE , Organic gala apples , Apples , Publix ,Organic gala apples
ACT STRWBY/BLUEBRY , Activia Probiotic Yogurt , Yogurt , Publix , DANNON ACTIVIA FIBER PROBIOTIC LOWFAT YOGURT STRAWBERRY
OREO THINS PISTACH , Oreo Thins Pistachio , Oreos , Publix , OREO THINS COOKIES PISTACHIO 1X10.1 OZ
OG GW BABY SPINACH , Organic baby spinach , Spinach , Publix , ORGANIC BABY SPINACH
PAPAYA MARADOL , Papaya , Papaya , Publix , PAPAYA CHUNKS
ORGANIC APPLES FUJ , Organic fuji apples , Apples , Publix , ORGANIC FUJI APPLES
SABRA RST GARL HUM , Sabra Garlic Hummus , Hummus , Publix , SABRA CLASSIC HUMMUS
CARROTS BABY CUT , Baby cut carrots , Carrots , Publix , BABY CUT CARROTS
MOCHI ICE CREAM , Mochi ice cream , Ice cream , Publix , MOCHI ICE CREAM
HTGF CHK BRST , Heritage Farm Chicken Breast , Chicken breast , Kroger , CHICKEN BREAST
GREEN BEANS , Green beans , Green beans , Kroger , GREEN BEANS
KRO KALE , Kroger Kale , Kale , Kroger , KALE
PEPPERS RAINBOW , Rainbow peppers , Peppers , Kroger , RAINBOW BELL PEPPERS
YAMS SWT JEWEL , Sweet jewel yams , Yams , Kroger ,YAMS
HTGF POTATOES RSST , Heritage Farm Russet Potatoes , Potatoes , Kroger , RUSSET POTATOES
KROGER BRC&CAU , Kroger broccoli and cauliflower , Broccoli and cauliflower , Kroger , BROCCOLI AND CAULIFLOWER
KROGER FROZEN VEG , Kroger frozen vegetable , Frozen vegetables , Kroger , FRESH FROZEN VEGETABLES
CLEMNTNES 3# , Clementines 3 pounds , Clementines , Kroger , CLEMENTINE
BANANAS , Bananas , Bananas , Kroger , BANANA
CHOBANI YOGURT , Chobani yogurt , Yogurt , Kroger , GREEK YOGURT
BC PCH PIE , Bakery peach pie , Pie , Kroger , PEACH PIE
BC COOKIES , Bakery cookies , Cookies , Kroger , COOKIES
STRKST TUNA CRTNS , Starkist Tuna Creations , Tuna , Kroger , TUNA CREATIONS
STARKIST TUNA , Starkist Tuna , Tuna , Kroger , TUNA
KRO OLIVE OIL , Kroger olive oil , Olive oil , Kroger , OLIVE OIL
